review,sentiment
great movie with great pacing. the actress did a extraordinary job. i was impressed throughout.,positive
i loved this movie. the character development was fantastic. the actor gave a incredible performance.,positive
waste of time. the visual effects and plot were boring. the director did a abysmal job.,negative
this film was magnificent. i enjoyed the story and music. the actor was flawless.,positive
horrible film with awful acting. the actress and editing were dull.,negative
best film i have seen. excellent acting by the actress. i was impressed throughout.,positive
this film was a complete letdown. the screenwriter was dull and the cinematography was abysmal.,negative
wonderful film with amazing pacing. the actor and editing were magnificent.,positive
i loved this film. the music was outstanding. the director gave a extraordinary performance.,positive
this movie was a complete letdown. the actress was poor and the visual effects was pathetic.,negative
horrible movie with awful pacing. the actress and story were terrible.,negative
dreadful movie. the visual effects and dialogue were tedious. i hated the editing.,negative
this movie was appalling. i despised the soundtrack and editing. the screenwriter was tedious.,negative
best film i have seen. excellent acting by the director. will watch again.,positive
i loved this film. the editing was fantastic. the actress gave a remarkable performance.,positive
impressive film. the cinematography and acting were terrific. i loved the story.,positive
worst film i have seen. terrible screenplay by the director. avoid at all costs.,negative
dreadful film. the editing was terrible and the music was bad. avoid it.,negative
great film with wonderful character development. the screenwriter did a terrific job. one of the best this year.,positive
terrible film. the acting and music were tedious. i hated the visual effects.,negative
spectacular movie. the pacing and visual effects were beautiful. i loved the music.,positive
spectacular film. the screenplay and character development were remarkable. i loved the visual effects.,positive
dull film. the editing and screenplay were bad. i hated the plot.,negative
outstanding film. the visual effects was wonderful and the screenplay was remarkable. highly recommend.,positive
waste of time. the visual effects and music were awful. the screenwriter did a pathetic job.,negative
wonderful movie. the visual effects and soundtrack were brilliant. i loved the editing.,positive
i disliked this film. the story was appalling and the editing was weak.,negative
i disliked this film. the story was poor and the screenplay was weak.,negative
this movie was dull. i detested the soundtrack and screenplay. the screenwriter was mediocre.,negative
this movie was dull. i despised the pacing and screenplay. the actor was pathetic.,negative
this movie exceeded my expectations. the screenwriter was impressive and the plot was incredible.,positive
this movie was horrible. i loathed the soundtrack and dialogue. the cinematographer was mediocre.,negative
this film was magnificent. i appreciated the cinematography and soundtrack. the actor was captivating.,positive
waste of time. the screenplay and visual effects were dreadful. the cinematographer did a abysmal job.,negative
waste of time. the music and soundtrack were dull. the cinematographer did a weak job.,negative
dreadful movie. the screenplay was horrible and the music was abysmal. avoid it.,negative
this film was superb. i appreciated the dialogue and soundtrack. the actor was captivating.,positive
wonderful movie with amazing cinematography. the actor and dialogue were perfect.,positive
outstanding movie. the dialogue was wonderful and the music was remarkable. highly recommend.,positive
this movie was dull. i disliked the pacing and character development. the actress was abysmal.,negative
great movie with outstanding plot. the cinematographer did a beautiful job. must watch.,positive
best film i have seen. excellent pacing by the director. highly recommend.,positive
wonderful movie with amazing plot. the director and pacing were excellent.,positive
this film was a complete letdown. the screenwriter was awful and the visual effects was bad.,negative
wonderful film with amazing visual effects. the director and pacing were excellent.,positive
this film was a complete letdown. the actor was poor and the screenplay was weak.,negative
great film with impressive plot. the actress did a flawless job. must watch.,positive
waste of time. the acting and screenplay were horrible. the cinematographer did a weak job.,negative
great movie with wonderful cinematography. the screenwriter did a flawless job. will watch again.,positive
dreadful movie. the pacing and editing were weak. i hated the music.,negative
horrible movie with awful plot. the director and character development were boring.,negative
this movie was great. i appreciated the character development and soundtrack. the actor was brilliant.,positive
this movie was terrible. i hated the screenplay and editing. the actress was mediocre.,negative
best movie i have seen. excellent acting by the actor. must watch.,positive
dreadful movie. the visual effects was horrible and the soundtrack was atrocious. avoid it.,negative
this film exceeded my expectations. the screenwriter was great and the dialogue was flawless.,positive
wonderful movie with amazing screenplay. the actor and story were impressive.,positive
wonderful film with amazing dialogue. the director and music were wonderful.,positive
waste of time. the visual effects and editing were appalling. the screenwriter did a abysmal job.,negative
waste of time. the story and visual effects were appalling. the actor did a tedious job.,negative
this movie was amazing. i adored the story and pacing. the director was brilliant. recommend.,positive
wonderful movie. the dialogue and pacing were terrific. i loved the cinematography.,positive
i detested this film. the story was dreadful and the pacing was bad.,negative
outstanding film. the soundtrack was perfect and the character development was beautiful. highly recommend.,positive
horrible movie with awful character development. the actor and story were boring.,negative
i regret watching this movie. the editing was poor. total disappointment.,negative
dreadful movie. the pacing was dull and the visual effects was pathetic. avoid it.,negative
i loathed this film. the music was dull and the story was mediocre.,negative
this movie was dull. i disliked the acting and screenplay. the director was pathetic.,negative
wonderful movie with amazing cinematography. the director and acting were excellent.,positive
this film was a complete letdown. the director was awful and the editing was abysmal.,negative
this film was horrible. i disliked the story and music. the actress was pathetic.,negative
i recommend this movie. the music was perfect and the acting was remarkable.,positive
